Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Return on capital employed,Return on equity,Average return on equity 5Years,Average return on equity 3Years,Average return on capital employed 3Years,Average return on capital employed 5Years,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Debt to equity,Promoter holding,Change in promoter holding 3Years,Change in promoter holding,Pledged percentage,PEG Ratio,Historical PE 5Years,Historical PE 3Years,Price to book value,Historical PBV 3Years,Historical PBV 5Years,Dividend Payout,Dividend Payout Ratio,Average dividend payout 3years,Average 5years dividend,Free cash flow 3years,Free cash flow 5years,Free cash flow preceding year,Free cash flow last year,Industry PE,EPS,Interest Coverage Ratio,Return over 1year,Return over 3years,Return over 5years
Power Grid Corpn,532898,POWERGRID,INE752E01010,Power,Power - Transmission,287.85,16.81,267717.88,3.13,9.74,16.49,18.02,17.21,11.84,12.01,0.84,3.35,0.85,4.35,1.47,51.34,0.00,0.00,0.00,19.78,14.38,17.31,2.66,2.87,2.45,78.83,78.83,66.65,10393.42,41680.25,90939.72,12112.02,3682.47,16.81,17.13,2.72,-2.09,14.86,17.31
Premier Energies,544238,PREMIERENE,INE0BS701011,Electrical Equipment,Other Electrical Equipment,1046.80,31.47,47519.64,0.10,33.32,42.35,40.36,45.80,33.23,21.81,76.27,61.99,369.81,132.73,0.86,63.94,,0.00,0.00,0.09,44.90,44.90,11.01,15.75,15.75,0.75,0.75,1.05,6.77,-1366.61,-1781.63,727.85,-1735.55,31.14,33.33,13.47,-1.09,,
Prestige Estates,533274,PRESTIGE,INE811K01011,Realty,"Residential, Commercial Projects",1668.00,60.10,71845.80,0.11,10.38,7.54,6.44,6.22,9.70,9.54,15.12,11.86,18.36,20.91,1.09,60.94,-4.54,0.00,0.00,3.27,42.54,58.30,4.42,4.32,3.19,7.21,7.21,9.68,71.22,-1620.90,-1862.10,-1366.90,349.00,28.75,27.76,2.08,3.41,42.45,41.97
Punjab Natl.Bank,532461,PNB,INE160A01022,Banks,Public Sector Bank,105.35,6.59,121078.16,2.85,6.13,12.99,9.40,12.42,5.99,5.22,14.62,9.80,76.45,48.17,12.22,70.08,-3.07,0.00,0.00,0.09,11.16,8.26,0.81,0.94,0.82,18.75,18.75,18.31,1970.58,15458.75,56994.40,20489.51,24052.33,7.92,16.00,1.32,-4.96,21.59,20.02
Radico Khaitan,532497,RADICO,INE944F01028,Beverages,Breweries & Distilleries,3892.30,84.50,52130.10,0.23,24.21,20.33,14.24,15.39,17.76,16.26,24.52,20.58,41.20,17.36,0.15,40.20,-0.07,0.00,0.00,2.05,76.06,91.65,15.72,11.73,9.26,19.94,19.94,16.91,58.87,633.53,253.33,189.38,504.18,46.41,45.14,13.83,47.95,42.03,38.67
Rail Vikas,542649,RVNL,INE415G01027,Construction,Civil Construction,235.77,56.20,49158.52,0.73,10.80,9.02,15.56,13.82,14.60,15.46,0.21,5.79,-13.29,-2.48,0.49,72.84,-5.36,0.00,0.00,-4.23,25.99,56.87,5.01,7.48,4.88,40.76,40.76,32.37,396.15,2123.69,2676.49,1446.82,-1953.29,17.73,4.20,3.82,-39.76,23.85,48.86
REC Ltd,532955,RECLTD,INE020B01018,Finance,Financial Institution,365.15,5.89,96152.17,4.93,9.71,19.97,21.00,21.14,9.91,9.59,14.70,10.88,13.48,14.26,6.05,52.63,0.00,0.00,0.00,0.44,5.48,6.67,1.13,1.50,1.11,29.95,29.95,29.86,4035.41,-91007.58,-132342.74,-39146.96,5895.54,18.08,61.93,1.57,-7.24,29.92,27.26
Reliance Industries,500325,RELIANCE,INE002A01018,Petroleum Products,Refineries & Marketing,1304.00,22.67,1764642.56,0.46,10.26,8.91,8.64,8.77,9.93,9.43,6.40,17.76,5.23,11.98,0.45,50.00,-0.41,-0.01,0.00,4.33,25.61,25.80,1.95,2.27,2.13,10.05,10.05,10.15,6765.84,132314.00,129190.00,41079.00,70023.00,5.26,59.69,5.45,-14.62,3.23,5.74
S A I L,500113,SAIL,INE114A01011,Ferrous Metals,Iron & Steel,169.88,18.30,70169.36,0.94,7.79,6.43,8.83,5.80,7.55,10.46,1.99,9.90,25.38,-1.50,0.53,65.00,0.00,0.00,0.00,0.72,14.82,17.64,1.16,0.93,0.86,28.78,28.78,27.86,1338.29,14182.57,32927.29,4536.87,10942.35,18.04,8.17,3.40,26.10,24.49,6.23
Samvardh. Mothe.,517334,MOTHERSON,INE775A01035,Auto Components,Auto Components & Equipments,146.30,37.36,154411.50,0.41,13.08,10.90,10.05,11.55,13.47,11.08,17.02,17.06,38.92,31.08,0.47,48.60,-16.16,0.00,2.90,0.96,39.90,37.81,3.77,3.40,3.31,0.00,0.00,11.89,374.85,10785.62,13272.22,1853.30,5373.42,30.18,3.66,4.72,42.59,34.45,10.59
SBI,500112,SBIN,INE062A01020,Banks,Public Sector Bank,1040.00,11.52,959984.23,1.67,6.13,15.38,15.93,16.52,6.25,5.68,13.64,13.11,14.38,30.01,11.44,55.52,-1.97,0.02,0.00,0.80,10.48,9.70,1.61,1.56,1.50,19.23,19.23,18.58,11770.63,87038.52,55668.77,39846.79,29734.43,7.92,90.24,1.36,28.10,20.76,19.17
SBI Cards,543066,SBICARD,INE018E01016,Finance,Non Banking Financial Company (NBFC),603.80,26.52,57458.48,0.41,10.10,14.69,19.03,16.80,11.02,11.55,13.33,16.43,-1.37,17.08,2.80,68.92,-0.10,0.34,0.00,-19.36,36.38,31.82,3.65,6.02,7.05,10.98,10.98,11.09,237.16,-7464.23,-18719.25,-2195.84,459.48,22.34,22.77,1.95,-33.62,-10.29,-9.39
SBI Life Insuran,540719,SBILIFE,INE123W01016,Insurance,Life Insurance,1788.70,72.64,179449.63,0.15,14.95,13.70,14.04,14.14,15.57,15.50,11.68,6.52,12.81,11.15,0.00,55.33,-0.12,-0.01,0.00,5.67,75.97,75.28,9.40,10.20,10.29,10.96,10.96,12.15,252.42,88786.68,139152.78,25440.92,34338.10,68.57,24.63,,-0.61,11.47,12.11
Shree Cement,500387,SHREECEM,INE070A01015,Cement & Cement Products,Cement & Cement Products,26765.00,55.39,96570.12,0.41,10.48,7.78,9.06,8.34,10.65,11.40,5.47,9.08,11.38,-5.17,0.08,62.55,0.00,0.00,0.00,4.87,51.86,54.74,4.15,4.74,4.88,31.04,31.04,27.40,400.49,2994.04,2742.23,836.96,1979.09,30.20,483.24,11.83,-14.53,3.09,-0.17
Shriram Finance,511218,SHRIRAMFIN,INE721A01047,Finance,Non Banking Financial Company (NBFC),1063.60,24.95,250256.05,1.02,11.49,16.39,15.71,16.01,11.24,11.15,16.44,22.54,18.60,32.03,3.80,20.30,-5.21,-5.08,0.00,1.34,13.82,14.51,3.04,2.19,1.84,20.27,20.27,20.90,1487.25,-88739.09,-115450.73,-43902.79,-13475.08,22.34,53.28,1.62,57.30,43.43,31.07
Siemens,500550,SIEMENS,INE003A01024,Electrical Equipment,Heavy Electrical Equipment,3536.30,53.04,125934.89,0.00,21.22,16.26,15.21,16.58,21.95,19.13,15.47,20.09,15.89,25.31,0.02,75.00,0.00,0.00,0.00,3.34,49.59,64.99,9.10,8.61,6.61,23.29,23.29,19.06,412.96,4468.20,6630.50,1567.30,1567.30,37.55,77.27,93.55,7.41,18.46,24.91
Siemens Ener.Ind,544390,ENRIN,INE1NPP01017,Electrical Equipment,Heavy Electrical Equipment,3281.50,86.67,116860.94,0.12,67.75,50.47,,,67.75,67.75,,,,,0.04,75.00,,0.00,0.00,,91.42,91.42,24.29,24.16,24.16,12.94,12.94,,,,,0.00,3454.10,37.55,36.78,52.22,13.39,,
Solar Industries,532725,SOLARINDS,INE343H01029,Chemicals & Petrochemicals,Explosives,18514.00,99.87,167533.29,0.06,36.79,31.46,31.44,31.70,35.80,33.62,12.45,31.36,28.70,43.47,0.24,73.15,0.00,0.00,1.76,3.48,74.27,94.02,26.69,24.55,20.89,5.93,5.93,7.54,81.45,1251.62,1452.02,1466.45,-1072.39,41.88,185.38,18.65,9.84,70.92,62.58
SRF,503806,SRF,INE647A01010,Chemicals & Petrochemicals,Commodity Chemicals,2794.50,43.54,82835.92,0.32,14.61,14.27,15.96,12.36,13.20,17.18,2.01,13.45,-4.11,9.70,0.36,50.26,-0.27,0.00,0.00,-10.59,43.20,53.28,5.90,6.51,6.99,14.59,14.59,15.91,281.68,1904.41,2242.85,1265.24,747.05,23.43,61.91,9.58,-13.50,7.90,13.27
Sun Pharma.Inds.,524715,SUNPHARMA,INE044A01036,Pharmaceuticals & Biotechnology,Pharmaceuticals,1904.80,36.63,457025.33,0.84,20.53,16.02,16.11,16.49,19.35,18.36,10.03,11.78,13.19,16.85,0.06,54.48,0.00,0.00,1.42,2.78,32.99,35.47,5.47,5.58,5.04,33.44,33.44,34.13,3215.06,30874.46,41319.33,12004.52,8905.93,35.08,47.84,49.47,13.63,22.17,22.87
Supreme Inds.,509930,SUPREMEIND,INE195A01028,Industrial Products,Plastic Products - Industrial,3228.70,43.97,41013.17,1.11,20.73,15.77,19.83,17.99,23.78,26.44,6.83,12.04,3.32,-0.89,0.01,48.96,0.11,0.00,0.00,13.24,48.12,55.70,6.65,10.29,8.83,47.94,47.94,42.84,381.15,1398.65,1871.37,115.99,416.47,21.24,75.10,42.86,-24.30,0.32,8.19
Suzlon Energy,532667,SUZLON,INE040H01021,Electrical Equipment,Heavy Electrical Equipment,56.87,24.51,77528.30,0.00,35.07,40.64,,38.95,30.84,26.62,40.99,37.98,164.98,45.66,0.06,11.73,-2.77,0.00,0.00,0.15,80.93,79.43,8.18,17.37,17.37,0.00,0.00,0.00,0.00,1202.71,2905.67,723.54,626.03,37.55,2.33,6.24,-13.22,48.40,46.42
Swiggy,544285,SWIGGY,INE00H001014,Retailing,E-Retail/ E-Commerce,248.27,,68530.30,0.00,-24.06,-29.05,,,-25.89,-32.37,40.77,55.36,0.19,,0.14,0.00,,0.00,0.00,,,,3.74,9.12,9.12,0.00,0.00,0.00,0.00,-8378.56,-16723.58,-2912.81,-3809.00,51.22,-15.05,-19.72,-35.26,,
Tata Capital,544574,TATACAP,INE976I01016,Finance,Non Banking Financial Company (NBFC),349.40,30.40,148315.72,0.00,8.58,12.34,14.39,13.24,9.10,8.90,32.26,26.24,17.19,34.07,5.15,85.41,,0.00,0.00,1.77,29.97,29.97,3.23,3.49,3.49,4.96,4.96,3.91,121.04,-108454.55,-146154.88,-30893.92,-38928.56,22.34,11.42,1.41,,,
Tata Comm,500483,TATACOMM,INE151A01013,Telecom - Services,Telecom - Cellular & Fixed line services,1906.70,51.52,54344.14,0.92,14.63,32.61,73.80,47.51,15.65,18.52,11.61,7.72,-15.22,-3.67,3.55,58.86,0.00,0.00,0.00,-3.39,36.36,45.88,15.76,27.51,33.35,49.80,49.80,45.92,575.13,3881.28,9334.19,711.43,2059.69,41.34,35.14,3.00,8.19,7.42,6.97
Tata Consumer,500800,TATACONSUM,INE192A01025,Agricultural Food & other Products,Tea & Coffee,1116.70,71.95,110514.43,0.90,9.24,7.35,7.23,7.52,9.68,9.47,13.76,11.83,12.52,12.07,0.13,33.83,-0.61,-0.01,0.00,5.75,78.55,79.70,5.07,5.56,5.24,64.16,64.16,64.07,777.39,5284.73,7875.85,1642.52,2015.76,26.17,15.59,16.79,2.48,10.15,8.09
Tata Elxsi,500408,TATAELXSI,INE670A01012,IT - Software,Computers - Software & Consulting,3678.90,32.93,22919.39,2.04,30.00,23.58,31.81,28.65,36.33,40.89,6.11,15.52,-2.77,13.75,0.05,43.90,-0.02,0.00,0.00,-11.89,58.67,52.80,7.54,16.26,21.84,74.35,74.35,62.96,402.48,2067.69,2902.68,795.81,653.65,21.52,100.88,52.54,-40.75,-21.32,-3.42
Tata Inv.Corpn.,501301,TATAINVEST,INE672A01026,Finance,Investment Company,667.30,77.85,33762.24,0.51,1.57,1.44,1.31,1.32,1.49,1.47,13.26,19.83,19.86,23.01,0.00,73.38,0.00,0.00,0.00,3.92,66.53,89.69,1.16,1.06,0.85,39.67,39.67,40.08,194.30,719.24,1070.99,205.48,279.08,32.21,8.57,832.72,-1.13,42.02,42.21
Tata Motors,544569,TMCV,INE1TAE01010,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,432.00,40.19,159076.72,0.93,35.90,34.02,,,35.90,35.90,,,,,0.44,42.56,,0.00,0.00,,25.57,25.57,12.49,14.93,14.93,48.58,48.58,,,,,7005.00,12878.00,33.66,8.23,7.97,,,
Tata Motors PVeh,500570,TMPV,INE155A01022,Automobiles,Passenger Cars & Utility Vehicles,344.10,1.47,126717.68,0.87,2.73,75.66,36.72,52.36,12.77,9.20,-1.01,6.08,232.10,100.61,0.71,42.56,-3.83,0.00,0.00,0.01,9.82,8.77,1.13,1.70,2.01,1.34,1.34,5.53,1276.10,39571.00,55358.38,26034.00,-23195.00,30.30,223.74,1.89,-17.34,-1.07,10.48
Tata Power Co.,500400,TATAPOWER,INE245A01021,Power,Integrated Power Utilities,375.20,31.17,119889.14,0.67,10.53,10.21,11.08,11.03,10.95,10.77,4.24,13.80,5.97,27.42,1.93,46.86,0.00,0.00,0.00,5.22,31.65,31.90,3.04,3.56,3.36,21.32,21.32,18.91,671.08,18083.06,17096.25,12680.19,5993.33,29.84,11.73,2.30,-6.43,19.17,24.41
Tata Steel,500470,TATASTEEL,INE081A01020,Ferrous Metals,Iron & Steel,189.80,20.94,236937.35,2.11,12.52,11.71,14.30,7.44,9.45,14.39,-1.56,8.21,9.59,7.59,0.90,33.19,-0.72,0.00,0.00,2.18,28.54,56.13,2.32,2.09,1.92,46.23,46.23,25.44,4919.19,33206.55,75503.11,8731.01,21906.07,18.04,8.65,3.34,16.43,18.89,10.41
TCS,532540,TCS,INE467B01029,IT - Software,Computers - Software & Consulting,2093.50,14.48,757446.62,3.06,63.03,51.81,49.36,51.90,63.98,61.02,5.80,10.22,7.50,9.45,0.11,71.77,-0.53,0.00,0.00,1.93,29.96,28.42,7.06,13.35,13.36,80.92,80.92,77.47,33937.20,134695.00,210582.00,44994.00,48013.00,21.52,136.01,57.78,-38.78,-14.25,-8.82
Tech Mahindra,532755,TECHM,INE669C01036,IT - Software,Computers - Software & Consulting,1410.10,27.67,138197.97,3.62,23.12,17.53,15.72,13.28,17.85,20.37,2.16,8.46,1.14,2.44,0.07,34.97,-0.21,-0.01,0.00,24.27,30.36,35.10,4.67,5.23,5.05,93.88,93.88,112.42,3812.27,16567.40,25620.20,5302.80,5625.90,21.52,49.10,21.27,-14.81,6.27,5.58
Titan Company,500114,TITAN,INE280A01028,Consumer Durables,"Gems, Jewellery And Watches",4461.10,76.93,396050.28,0.34,25.80,37.68,32.45,34.43,22.55,22.82,29.24,32.26,16.54,39.88,0.93,52.90,0.00,0.00,0.00,4.65,87.56,87.94,25.22,27.10,26.41,26.32,26.32,27.89,970.10,4726.00,4736.00,-1011.00,4713.00,17.95,57.14,6.85,21.00,12.90,20.58
Torrent Pharma.,500420,TORNTPHARM,INE685A01028,Pharmaceuticals & Biotechnology,Pharmaceuticals,4768.30,73.64,161380.94,0.80,15.19,27.43,23.68,26.17,21.80,20.82,13.27,11.80,21.65,12.07,1.79,68.31,-2.94,0.00,0.00,3.40,55.30,60.56,19.24,15.08,11.72,59.45,59.45,57.78,974.77,7344.24,10904.35,1991.01,2386.27,35.08,63.92,8.56,41.58,36.23,26.54
Trent,500251,TRENT,INE849A01020,Retailing,Speciality Retail,3340.60,103.19,178131.58,0.12,28.34,27.74,23.75,28.55,27.61,20.31,34.55,50.58,70.71,68.68,0.37,37.01,0.00,0.00,0.00,1.46,149.79,147.81,25.50,36.68,24.74,8.27,8.27,9.14,114.47,2685.68,2905.05,799.23,931.21,51.42,32.25,10.65,-8.16,42.50,40.91
Tube Investments,540762,TIINDIA,INE974X01010,Auto Components,Auto Components & Equipments,2975.80,87.46,57602.06,0.12,16.96,9.91,18.68,15.38,21.68,24.54,15.15,30.30,-11.39,16.88,0.10,44.04,-2.17,-0.01,0.01,-7.68,69.69,82.33,7.43,12.56,13.16,10.63,10.63,8.77,55.50,-406.56,1234.76,6.78,-265.66,30.18,32.90,31.95,-0.41,-1.95,21.31
TVS Motor Co.,532343,TVSMOTOR,INE494B01023,Automobiles,2/3 Wheelers,3627.40,56.74,172333.10,0.33,17.37,33.62,27.81,29.75,15.76,14.30,20.59,23.62,32.72,38.23,3.43,50.27,0.00,0.00,0.00,1.73,54.43,61.27,18.02,18.01,14.34,18.89,18.89,20.89,368.20,-2598.95,-10854.03,1043.86,-1279.60,36.25,63.53,3.18,25.95,40.08,42.78
UltraTech Cem.,532538,ULTRACEMCO,INE481G01011,Cement & Cement Products,Cement & Cement Products,11723.00,41.78,345452.39,0.66,12.78,11.23,11.34,10.87,12.93,13.20,11.86,14.63,17.93,8.37,0.31,59.33,-0.63,0.04,0.00,2.33,44.20,47.70,4.51,5.13,4.79,86.61,86.61,51.09,2714.18,9541.54,16181.56,1722.80,5805.25,30.20,277.10,6.91,-6.26,11.85,11.77
Union Bank (I),532477,UNIONBANK,INE692A01016,Banks,Public Sector Bank,163.09,6.41,124496.47,3.07,6.30,15.70,14.13,16.13,6.48,5.78,9.58,9.03,31.65,46.86,10.39,74.76,-8.73,0.00,0.00,0.20,6.33,6.39,0.93,0.94,0.81,19.64,19.64,19.89,2707.98,-4374.90,35195.45,15831.88,-38830.87,7.92,25.45,1.35,6.53,28.06,33.20
United Spirits,532432,UNITDSPR,INE854D01024,Beverages,Breweries & Distilleries,1393.30,55.49,101341.79,1.22,27.49,21.41,20.22,20.73,27.29,25.40,5.52,8.92,23.45,34.48,0.05,56.67,0.00,0.00,1.18,2.37,62.16,62.40,11.32,12.41,12.52,43.39,43.39,48.24,464.00,4356.00,5742.80,1786.00,1531.00,46.41,25.27,15.62,1.10,14.42,16.09
UPL,512070,UPL,INE628A01036,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,607.40,27.12,51258.79,0.99,10.17,5.91,6.85,1.97,7.04,9.96,-1.09,6.02,-19.73,-8.93,0.68,33.51,0.99,0.01,0.00,-1.37,19.46,28.25,1.48,1.75,2.04,26.38,26.38,24.44,514.80,9263.00,18656.00,8896.00,0.00,21.99,22.78,1.91,-10.85,-1.86,-4.75
Varun Beverages,540180,VBL,INE200M01039,Beverages,Other Beverages,515.80,54.82,174467.54,0.29,19.71,16.21,22.46,21.46,24.46,23.58,18.08,27.44,23.97,50.22,0.13,59.44,-4.45,0.00,0.00,2.29,60.57,64.00,8.91,18.32,14.02,16.71,16.71,15.18,301.17,-365.48,90.62,-359.27,796.93,81.89,9.41,24.70,13.08,16.02,40.24
Vedanta,500295,VEDL,INE205A01025,Diversified Metals,Diversified Metals,280.40,6.33,109647.28,15.51,16.08,38.15,28.35,31.01,16.21,19.41,-18.95,-2.28,17.48,7.62,0.66,56.38,-11.73,0.00,0.00,0.36,5.62,8.49,2.21,1.68,1.10,76.44,76.44,149.60,19154.90,60692.00,104761.00,22848.00,18747.00,33.39,44.47,7.04,68.83,40.83,23.26
Vishal Mega Mart,544307,VMM,INE01EA01019,Retailing,Diversified Retail,120.57,67.18,56383.06,0.00,14.79,12.15,8.62,10.39,13.08,11.26,19.38,23.72,38.98,47.90,0.27,40.12,,-13.97,0.00,1.72,98.32,98.32,7.60,9.01,9.01,0.00,0.00,0.00,0.00,3020.72,3937.16,1138.10,1299.21,35.88,1.80,7.56,-6.79,,
Vodafone Idea,532822,IDEA,INE669E01016,Telecom - Services,Telecom - Cellular & Fixed line services,14.25,,154388.82,0.00,-1.60,,,,-2.38,-3.14,2.09,1.36,5.71,0.21,,25.64,-24.72,0.07,0.00,,,,,,3.49,0.00,0.00,0.00,0.00,26962.00,51689.50,-931.20,8597.00,41.34,3.19,-0.12,93.61,24.41,9.38
Voltas,500575,VOLTAS,INE226A01021,Consumer Durables,Household Appliances,1280.20,107.83,42359.86,0.31,9.04,6.10,7.64,8.03,11.73,11.56,14.46,13.52,17.48,-5.62,0.16,30.30,0.00,0.00,0.00,6.17,79.93,91.80,6.64,7.13,6.96,35.20,35.20,44.97,173.67,-0.35,518.92,-415.89,-57.68,48.05,11.36,7.72,-6.17,18.64,4.76
Waaree Energies,544277,WAAREEENER,INE377N01017,Electrical Equipment,Other Electrical Equipment,2859.20,20.95,82245.27,0.07,38.78,32.83,31.62,31.21,39.11,38.00,57.82,68.52,99.63,143.12,0.22,64.19,,-0.03,0.00,0.21,39.16,39.16,5.70,8.23,8.23,1.55,1.55,0.52,11.51,-2355.27,-1454.54,-114.41,-3208.53,31.14,129.02,20.06,-3.99,,
Wipro,507685,WIPRO,INE075A01022,IT - Software,Computers - Software & Consulting,176.08,13.24,174381.70,6.25,17.84,15.46,16.35,15.50,18.12,18.63,0.78,8.38,5.10,4.05,0.23,72.62,-0.30,-0.01,0.00,2.60,20.38,20.46,2.10,3.27,3.37,87.42,87.42,46.66,4436.21,46041.00,66810.30,15621.10,13447.10,21.52,12.58,12.87,-34.80,-3.66,-8.07
Yes Bank,532648,YESBANK,INE528G01035,Banks,Private Sector Bank,24.39,21.80,76552.31,0.00,5.98,7.10,4.39,5.34,6.05,5.61,9.99,8.55,68.76,24.64,7.51,0.00,0.00,0.00,0.00,0.32,35.45,32.47,1.50,1.38,1.24,0.00,0.00,0.00,0.00,34862.45,31506.16,5665.07,20514.70,16.01,1.12,1.23,21.65,12.46,12.64
Zydus Lifesci.,532321,ZYDUSLIFE,INE010B01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,1140.60,21.15,114771.05,0.09,21.15,21.25,21.01,21.07,22.60,19.22,16.35,12.45,31.96,18.77,0.46,75.01,0.03,0.01,0.00,0.66,21.38,21.60,4.23,4.15,3.66,2.00,2.00,11.42,474.44,6930.50,9677.40,5115.50,-530.00,35.08,50.09,17.26,13.95,24.93,12.11
